No;Periode;Y;BI Rate;Kurs
1;Jan-17;3.49;4.75;13343
2;Feb-17;3.83;4.75;13347
3;Mar-17;3.61;4.75;13321
4;Apr-17;4.17;4.75;13327
5;May-17;4.33;4.75;13321
6;Jun-17;4.37;4.75;13319
7;Jul-17;3.88;4.75;13323
8;Aug-17;3.82;4.5;13351
9;Sep-17;3.72;4.25;13492
10;Oct-17;3.58;4.25;13572
11;Nov-17;3.3;4.25;13514
12;Dec-17;3.61;4.25;13548
13;Jan-18;3.25;4.25;13413
14;Feb-18;3.18;4.25;13707
15;Mar-18;3.4;4.25;13756
16;Apr-18;3.41;4.25;13877
17;May-18;3.23;4.75;13951
18;Jun-18;3.12;5.25;14404
19;Jul-18;3.18;5.25;14413
20;Aug-18;3.2;5.5;14711
21;Sep-18;2.88;5.75;14929
22;Oct-18;3.16;5.75;15227
23;Nov-18;3.23;6;14339
24;Dec-18;3.13;6;14481
25;Jan-19;2.82;6;14072
26;Feb-19;2.57;6;14062
27;Mar-19;2.48;6;14244
28;Apr-19;2.83;6;14215
29;May-19;3.32;6;14385
30;Jun-19;3.28;6;14141
31;Jul-19;3.32;5.75;14026
32;Aug-19;3.49;5.5;14237
33;Sep-19;3.39;5.75;14174
34;Oct-19;3.13;5;14008
35;Nov-19;3;5;14102
36;Dec-19;2.72;5;13901
37;Jan-20;2.68;5;13662
38;Feb-20;2.98;4.75;14234
39;Mar-20;2.96;4.5;16367
40;Apr-20;2.67;4.5;15157
41;May-20;2.19;4.5;14733
42;Jun-20;1.96;4.25;14302
43;Jul-20;1.54;4;14653
44;Aug-20;1.32;4;14554
45;Sep-20;1.42;4;14918
46;Oct-20;1.44;4;14690
47;Nov-20;1.59;3.75;14128
48;Dec-20;1.68;3.75;14105
49;Jan-21;1.55;3.75;14084
50;Feb-21;1.38;3.5;14229
51;Mar-21;1.37;3.5;14572
52;Apr-21;1.42;3.5;14468
53;May-21;1.68;3.5;14310
54;Jun-21;1.33;3.5;14496
55;Jul-21;1.52;3.5;14491
56;Aug-21;1.59;3.5;14374
57;Sep-21;1.6;3.5;14307
58;Oct-21;1.66;3.5;14199
59;Nov-21;1.75;3.5;14340
60;Dec-21;1.87;3.5;14269
61;Jan-22;2.18;3.5;14381
62;Feb-22;2.06;3.5;14371
63;Mar-22;2.64;3.5;14349
64;Apr-22;3.47;3.5;14418
65;May-22;3.55;3.5;14544
66;Jun-22;4.35;3.5;14848
67;Jul-22;4.94;3.5;14958
68;Aug-22;4.69;3.75;14875
69;Sep-22;5.95;4.25;15247
70;Oct-22;5.71;4.75;15542
71;Nov-22;5.42;5.25;15737
72;Dec-22;5.51;5.5;15731
73;Jan-23;5.28;5.75;14979
74;Feb-23;5.47;5.75;15274
75;Mar-23;4.97;5.75;15062
76;Apr-23;4.33;5.75;14751
77;May-23;4;5.75;14969
78;Jun-23;3.52;5.75;15026
79;Jul-23;3.08;5.75;15083
80;Aug-23;3.27;5.75;15239
81;Sep-23;2.28;5.75;15526
82;Oct-23;2.56;6;15916
83;Nov-23;2.86;6;15384
84;Dec-23;2.61;6;15416
85;Jan-24;2.57;6;15796
86;Feb-24;2.75;6;15673
87;Mar-24;3.05;6;15853
88;Apr-24;3;6.25;16249
89;May-24;2.84;6.25;16253
90;Jun-24;2.51;6.25;16421
91;Jul-24;2.13;6.25;16320
92;Aug-24;2.12;6.25;15409
93;Sep-24;1.84;6;15138
94;Oct-24;1.71;6;15732
95;Nov-24;1.55;6;15864
96;Dec-24;1.57;6;16162
